Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTransferEpRet	StdTransferEpRet	MaxTransferEpRet	MinTransferEpRet	AverageRandomEpRet	StdRandomEpRet	MaxRandomEpRet	MinRandomEpRet	AverageAdvEpRet	StdAdvEpRet	MaxAdvEpRet	MinAdvEpRet	EpLen	TestEpLen	TransferEpLen	RandomEpLen	AdvEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
34	599.48083	82.089745	704.7574	501.66306	725.73047	46.972095	797.0471	672.09937	738.98694	62.356873	862.29944	637.81244	261.98032	18.177128	303.6207	222.6571	680.7113	57.71419	798.87854	603.1516	1000.0	1000.0	1000.0	1000.0	1000.0	135999	144.012	7.800195	162.75221	-79.334885	144.01215	7.790069	162.64069	-55.362507	-4.979972	1.1391189	20.007263	-15.444626	-144.91336	2.0616045	4397.837243556976
35	717.4315	42.094585	784.7039	668.94586	649.0481	108.20823	783.9594	520.48883	728.1992	140.89677	989.27094	556.9992	277.39996	106.835785	441.11963	23.138023	652.64923	124.91764	884.76587	522.8908	1000.0	1000.0	1000.0	913.1	1000.0	139999	144.77579	7.926726	163.38023	-73.60995	144.77557	7.9219317	162.79245	-45.58248	-4.972596	1.1621343	25.71079	-13.12194	-145.67513	2.5262809	4527.127716779709
36	653.06323	88.15659	728.1424	504.29028	776.07935	50.989433	894.1135	703.85834	768.04034	38.56522	809.9777	693.53937	352.482	1.1360545	354.69153	350.9402	761.8192	77.06708	891.6198	630.0618	1000.0	1000.0	1000.0	1000.0	1000.0	143999	145.46387	8.089686	163.76518	-65.03002	145.46399	8.080947	202.45529	-31.824297	-4.9765086	1.1443987	17.879278	-12.634459	-146.36394	1.8310491	4657.68213057518
37	670.01917	19.569553	690.67566	638.2471	767.0276	68.12154	809.96594	610.912	772.5303	55.871185	810.30945	633.68964	505.54346	41.749256	587.8142	443.5596	775.2408	66.62082	806.34766	587.41205	1000.0	1000.0	1000.0	1000.0	1000.0	147999	146.19572	8.177283	164.95157	-78.5303	146.19576	8.175038	168.36841	-58.494164	-4.9648314	1.1489501	14.996694	-12.22792	-147.10608	2.3171635	4787.377073287964
38	569.7388	81.4022	709.3355	504.63617	774.05634	82.88435	994.1193	675.6502	804.5572	97.9292	991.53436	649.00214	462.84668	19.309889	483.21484	422.0387	826.3377	113.112915	995.0786	708.9294	1000.0	1000.0	1000.0	1000.0	1000.0	151999	146.68118	8.385462	165.2367	-47.07694	146.68117	8.38543	164.83032	-47.494686	-4.994694	1.1304677	28.141981	-12.961949	-147.58397	1.9960994	4918.191613197327
39	624.41583	24.084585	656.63574	593.45886	695.6577	40.483894	782.4798	606.5486	695.7731	44.82731	793.5157	613.7796	398.98907	16.007402	439.57257	376.16846	704.7482	28.731937	784.5972	670.76276	1000.0	1000.0	1000.0	1000.0	1000.0	155999	147.22614	8.489371	166.52754	-48.787483	147.22594	8.482803	198.17471	-34.62517	-4.9793463	1.1265674	20.174316	-14.606826	-148.1344	2.3850467	5049.510753154755
40	681.75116	33.152866	732.4303	650.6944	726.4058	94.94547	899.6192	611.70856	674.77484	63.24575	806.13293	609.7757	497.91486	65.98196	579.95087	345.50092	713.1152	38.6753	804.827	658.73865	1000.0	1000.0	1000.0	1000.0	1000.0	159999	147.8134	8.751194	172.55647	-77.96973	147.81345	8.733522	168.48077	-48.182747	-4.9607387	1.1756171	17.640285	-13.271269	-148.7192	2.5763075	5179.323805093765
41	688.26843	20.30657	721.55585	666.8261	872.5	125.87183	999.9709	671.8637	840.8656	131.89519	992.8581	567.3302	299.09604	53.435524	420.67236	239.56145	869.92316	84.398125	993.2753	721.705	1000.0	1000.0	1000.0	1000.0	1000.0	163999	148.29489	8.891446	172.77327	-83.67379	148.2948	8.890017	182.7179	-52.316795	-4.965345	1.1604018	20.60433	-13.277256	-149.19887	2.5571241	5308.23778128624
42	684.28644	17.379637	705.6407	660.4299	705.2135	12.023695	739.963	696.35266	722.6035	50.26248	786.2798	610.90466	252.35352	21.131475	280.8235	212.18507	718.1041	30.476732	787.7891	693.02563	1000.0	1000.0	1000.0	1000.0	1000.0	167999	148.73831	9.041303	171.74734	-97.59924	148.73814	9.038541	169.09181	-52.12169	-4.9704976	1.1360946	23.962267	-14.329246	-149.65509	2.337022	5438.603949069977
43	667.3606	45.680687	739.5976	614.3869	867.2381	41.11996	899.282	801.95996	803.8428	74.75022	901.9001	693.5705	200.57648	30.78201	234.81906	155.10579	854.5125	87.53209	951.144	649.97864	1000.0	1000.0	1000.0	1000.0	1000.0	171999	149.22229	9.1742115	171.17702	-40.87479	149.22243	9.172386	185.28658	-33.112347	-4.971905	1.1329528	17.7772	-13.296528	-150.13377	2.1440825	5568.4425621032715
44	707.0298	42.226562	778.1137	667.29877	577.50287	63.111202	696.77783	517.11865	623.6979	87.10765	805.8285	515.3092	167.45288	6.3181386	185.28728	162.96468	555.3282	44.113953	643.8047	518.17615	1000.0	1000.0	1000.0	1000.0	1000.0	175999	149.6404	9.3785	171.85028	-69.885666	149.6402	9.378964	177.79224	-57.228065	-4.9694285	1.1359005	21.563696	-13.407465	-150.55687	2.1050239	5698.509256362915
45	672.5856	78.46366	744.4802	545.8937	763.5539	58.907444	840.86536	646.6449	728.63855	63.974148	818.11053	655.8918	289.97067	33.07695	350.2546	234.158	699.30023	52.02255	805.46985	636.6448	1000.0	1000.0	1000.0	1000.0	1000.0	179999	150.05942	9.528804	171.41864	-54.46158	150.0594	9.520815	181.60358	-73.5124	-4.9478474	1.1801072	24.842	-12.540424	-150.96759	2.1350112	5828.902990102768
46	711.697	26.101238	742.8602	679.665	798.93304	7.374089	802.8049	776.9133	797.8491	42.05356	895.24713	710.2138	247.84492	20.725222	282.9868	216.6037	799.2537	6.466755	803.8173	780.209	1000.0	1000.0	1000.0	1000.0	1000.0	183999	150.44785	9.528519	172.61552	-63.60251	150.4478	9.528914	177.23566	-40.721867	-4.978046	1.1256167	19.005571	-13.083982	-151.37292	1.7449261	5958.493605136871
47	644.9734	84.36971	712.80084	501.32947	605.53064	77.24661	704.9712	453.49878	713.49304	58.91127	805.07324	587.23584	325.1341	66.90228	435.90497	226.18973	660.90393	60.34684	711.8347	544.3706	1000.0	1000.0	1000.0	1000.0	1000.0	187999	150.90176	9.601706	173.01363	-45.263615	150.90173	9.59842	187.9304	-59.479443	-4.991637	1.1089549	34.87396	-14.933306	-151.81769	1.8244063	6088.900080919266
48	651.75854	55.4489	703.52094	558.686	741.0548	33.82276	777.8512	697.6771	712.55066	68.35171	790.2456	583.36365	366.54303	32.397182	424.73016	299.6385	737.8372	71.96953	893.5299	626.8145	1000.0	1000.0	1000.0	1000.0	1000.0	191999	151.3083	9.642501	171.38065	-57.15412	151.30801	9.6381445	170.4974	-71.98678	-4.9961324	1.1055633	24.544363	-14.984377	-152.23317	1.7526181	6220.997184038162
49	678.59216	17.665293	706.5438	663.20795	613.37384	65.249626	700.789	512.3324	670.3915	34.020676	704.94257	605.29285	518.1604	41.784283	586.16113	425.7674	618.66956	52.98929	676.68317	517.0152	1000.0	1000.0	1000.0	1000.0	1000.0	195999	151.7273	9.680068	171.88222	-61.258347	151.7275	9.677536	175.01341	-32.731056	-4.9980006	1.0984508	21.386845	-14.54356	-152.64366	1.3723632	6350.269364356995
50	686.9878	21.33192	715.24036	655.3086	682.1087	52.193085	798.9118	607.4294	656.9971	69.92471	800.6215	520.0688	388.2729	44.31973	483.43103	339.8244	669.9918	46.233963	752.022	604.47363	1000.0	1000.0	1000.0	1000.0	1000.0	199999	152.18095	9.725628	172.13774	-44.07077	152.18071	9.72244	183.7083	-47.780727	-4.984413	1.123107	31.334448	-13.271676	-153.09772	1.9678802	6483.75766658783
51	706.2024	19.620102	738.41345	685.7302	742.04724	48.495506	801.8483	696.3028	707.2707	54.00418	801.16254	577.718	456.84497	32.509785	502.88052	383.04413	746.8538	79.75681	895.74097	631.18964	1000.0	1000.0	1000.0	1000.0	1000.0	203999	152.52013	9.819471	172.17796	-51.32306	152.51985	9.816533	181.45059	-71.56423	-4.9991403	1.1045294	24.140318	-17.177872	-153.43701	2.0737388	6619.139577865601
52	719.8287	82.98191	788.29095	581.7835	677.96265	32.03953	701.219	606.33496	640.6179	34.424953	690.01227	594.5623	406.7245	38.879	467.04013	347.81775	673.5795	31.014505	701.93933	615.29565	1000.0	1000.0	1000.0	1000.0	1000.0	207999	152.85417	9.937097	173.46506	-76.644264	152.85416	9.935942	185.01067	-95.53373	-4.9862194	1.1317024	24.167467	-13.750418	-153.7687	1.7587129	6753.412645101547
